Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
rd400	400	15281	christofides	95.02461099624634	1.1355412972907708	17352.20656390027	29.06399917602539	35.74421768707483	56.348979591836745	49.30000000000001
fl417	417	11861	christofides	42.61703586578369	1.129293018653796	13394.544494252674	31.18346405029297	54.0796875	59.3109375	49.300000000000004
pr439	439	107217	christofides	41.412869691848755	1.1226105320841524	120362.93341846658	34.2092170715332	53.142857142857146	59.88888888888889	49.300000000000026
pcb442	442	50778	christofides	74.71112370491028	1.0806200518976194	54871.72499525732	34.783541679382324	45.71339285714286	57.10267857142857	49.3
d493	493	35002	christofides	135.02674317359924	1.094723093944023	38317.49773422869	42.08768081665039	49.76188118811882	58.22623762376238	49.300000000000004
u574	574	36905	christofides	227.61819982528687	1.114874970502594	41144.46078639823	55.46754837036133	64.7	64.15919540229885	49.300000000000004
rat575	575	6773	christofides	251.08578515052795	1.1565064955358002	7833.018494263975	55.64219284057617	53.57936507936508	60.536507936507945	49.300000000000004
p654	654	34643	christofides	34.170180320739746	1.1347458832930766	39311.00163492205	70.50537490844727	59.60576923076923	59.350000000000016	49.30000000000002
d657	657	48912	christofides	345.99418091773987	1.1212208577039584	54841.15459201601	70.94818496704102	54.29306358381503	59.68169556840078	49.3
u724	724	41910	christofides	145.3194603919983	1.151319952191041	48251.819196326534	109.76937770843506	56.107582938388624	61.778199052132695	49.29999999999997
rat783	783	8806	christofides	204.55045413970947	1.1434827656427624	10069.509234250167	125.96426391601562	56.548821548821548	62.59023569023569	49.29999999999998
pr1002	1002	259045	christofides	307.3333349227905	1.1056920486506865	286423.9967427171	196.3132610321045	56.45990990990991	55.66216216216216	49.29999999999995
u1060	1060	224094	christofides	471.10723423957825	1.1106621147594768	248892.71594491022	217.51612854003906	57.380058651026393	59.324780058651026	49.29999999999998
vm1084	1084	239297	christofides	217.74700450897217	1.093823439406958	261748.66757976683	227.0422019958496	57.3770700636942665	52.005414012738854	49.29999999999998
pcb1173	1173	56892	christofides	392.7048225402832	1.1142387698455622	63391.27209405373	262.2439079284668	56.45079086115993	59.561862917398948	49.29999999999997
d1291	1291	50801	christofides	100.89192318916321	1.1256333682506048	57183.30074049898	312.5717658996582	56.130769230769231	60.431468531468536	49.29999999999998
rl1304	1304	252948	christofides	106.02900290489197	1.0969350130312086	277467.5176762181	319.10636138916016	56.08	60.82199999999999	49.29999999999998
rl1323	1323	270199	christofides	108.11368322372437	1.0996541205158143	297125.4437092525	327.5232734680176	56.742857142857144	60.920129870129863	49.29999999999998
